company_id,company_name,country,city,region_bucket,business_id,founded_year,company_status,company_size,headcount_latest,headcount_year,parent_company,self_published,games_shipped,website,src_registry,src_headcount,notes
bippinbits,Bippinbits GmbH,Germany,Radeberg,EU-Other,HRB 39892 (AG Dresden),2020,Active,Small (6-20),7,2024,,No,1,https://bippinbits.com,S001,S003,"Dome Keeper published by Raw Fury (=self_published No); studio now self-publishes PVKK. Sole owner/MD Rene Habermann; share capital EUR25,000. Business_id populated (non-Nordic) - extends schema's Nordic-only default; flagged."
thunderful_image_form,Image & Form International AB (now Thunderful Development AB / Stormteller Games),Sweden,Gothenburg,Nordics,,1997,Acquired,Subsidiary,25,2024,Thunderful Group AB (owned by Atari SA since Aug 2025),Yes,7,https://thunderful.se,S005,S006,"MESSY LINEAGE: Image&Form (SteamWorld Dig 1/2, The Gunk) integrated into Thunderful Development AB 2020; Gothenburg team rebranded Stormteller Games after 2024 layoffs (~25 devs). self_published Yes reflects Image&Form's historic self-sufficiency / in-group Thunderful Publishing. Financials muddied by listed group - see notes; org.nr not pulled. games_shipped approx."
foulball_hangover,Foulball Hangover LTD,United Kingdom,London,UK,,2019,Active,Micro (2-5),5,2025,,Yes,2,https://www.foulballhangover.com,S019,S019,"Solo dev Max Hayon grew to ~5 FT. Hydroneer (2020) self-published, 1M+ copies. founded_year ~2019 EST - verify via UK Companies House. Small UK co files abbreviated accounts (limited financials)."
pugstorm,Pugstorm AB,Sweden,Linkoping,Nordics,559175-3602,2018,Active,Mid (21-50),12,2024,,No,2,https://pugstorm.eu,S008,S007,Core Keeper (the tracked title) published by Fireshine Games; Kyora by Chucklefish -> self_published No. Founders Fredrik Prantare & Julian Seifert-Olszewski. ~35 total incl. contractors (12 payroll employees filed). Core Keeper 2M+ copies.
nolla_games,Nolla Games Oy,Finland,Helsinki,Finland,2789347-8,2016,Active,Micro (2-5),3,2024,,Yes,1,https://nollagames.com,S010,S009,Founders Petri Purho / Olli Harjola / Arvi 'Hempuli' Teikari. Noita self-published. Reg 2016-11-07. FILED FINANCIALS available (see financials.csv): ~74% operating margins. Payroll employees filed 0 (founders draw dividends); effective ~3.
fire_hose_games,"Fire Hose Games, Inc.",United States,"Boston, MA",North America,,2008,Active,Small (6-20),20,2025,,Yes,5,https://www.firehosegames.com,S020,S020,Techtonica (2023) self-published. Founded 2008 by MIT alumni; fully remote. Also co-dev/work-for-hire (Harmonix). headcount ~15-25 EST - verify (LinkedIn). US private - no public financials.
vrkiwi,VRKiwi Oy (aka MeKiwi Oy),Finland,Oulu,Finland,2602442-2,2014,Active,Small (6-20),15,2024,,Yes,5,https://vrkiwi.org,S011,S011,Cave Digger series self-developed AND self-published (VRKiwi is also a VR publisher). Same Y-tunnus 2602442-2 serves VRKiwi Oy / MeKiwi Oy (renamed/aputoiminimi). LOSS-MAKING with negative equity (see financials.csv) - contrast to Nolla. Raised EUR1.5M (see funding.csv). games_shipped approx (own dev titles).
digital_sun,Digital Sun Games,Spain,Valencia,EU-Other,CIF B98768575,2015,Active,Large (50+),50,2026,,No,4,https://digitalsungames.com,S021,S021,"Moonlighter (tracked title) published by 11 bit studios -> self_published No; Mageseeker via Riot Forge; Cataclismo & recent originals self-published (studio now self-publishes + has Digital Sun Forge co-dev branch). Team since 2013, entity constituted 2015-10-01. ENTITY SPLIT: 'Digital Sun Games SL' (B98768575) now largely INACTIVE (accounts to FY2020); live entity appears to be 'Digital Sun Studios SL' (B98516321), paywalled. Spanish accounts not freely accessible."
system_era,"System Era Softworks, Inc.",United States,"Seattle, WA",North America,,2014,Acquired,Mid (21-50),50,2023,Devolver Digital (AIM: DEVO),Yes,2,https://www.systemera.net,S023,S023,"Astroneer self-published by System Era -> self_published Yes. Acquired by Devolver Digital Nov 2023 (up to $40M, $22M initial). Astroneer owns 100% IP; ~$87M lifetime revenue (ANEC, games-side). US private - no standalone filings."
hopfrog,HopFrog S.A.,Argentina,Sunchales,Other,,2017,Active,Micro (2-5),2,2024,,No,1,https://hopfrogsa.net,S024,S024,Forager (2019) published by Humble Bundle -> self_published No. Effectively solo-led (Mariano Cavallero) + contractors. Founder now based in Bellevue WA (company Argentine). founded ~2016-17 EST. Forager 900k units/~$10M gross (ANEC). Argentina private - no accessible filings.
relogic,Re-Logic,United States,"Floyds Knobs, IN",North America,,2011,Active,Small (6-20),11,2024,,Yes,1,https://re-logic.com,S025,S025,Terraria (2011) self-developed and self-published -> self_published Yes. Founder Andrew 'Redigit' Spinks. Also published Pixel Piracy/Privateers (Quadro Delta). Terraria 60.7M+ units (ANEC). US private - no public financials. games_shipped=1 developed.
mobius_digital,Mobius Digital,United States,"Los Angeles, CA",North America,,2013,Active,Small (6-20),20,2024,,No,4,https://www.mobiusdigitalgames.com,S026,S026,Outer Wilds (2019) published by Annapurna Interactive -> self_published No (early mobile games self-published). Founded 2013 by Loan Verneau & actor Masi Oka. Outer Wilds Fig-crowdfunded (see funding.csv). headcount ~20 EST. US private - no public financials.
keen_games,Keen Games GmbH,Germany,Frankfurt am Main,EU-Other,HRB 98321 (AG Frankfurt),2004,Active,Large (50+),63,2026,,Yes,6,https://www.keengames.com,S027,S028,"Enshrouded (2024, tracked title) self-published (first self-pub) -> self_published Yes; Portal Knights via 505 Games. Tencent is a MINORITY investor (via 2021 round), not parent. Raised $10M + German gov grant (see funding.csv). founded ~2004 EST - verify HRB. Small GmbH abbreviated filings; share capital EUR25,000."
obsidian,"Obsidian Entertainment, Inc.",United States,"Irvine, CA",North America,,2003,Acquired,Large (50+),310,2025,Microsoft (Xbox Game Studios),No,20,https://www.obsidian.net,S029,S029,"Grounded published by Xbox Game Studios (Microsoft) -> self_published No. Acquired by Microsoft Nov 2018. ~310 staff (2025). CAUTION: a '$160.5M Series C' (Novo Holdings, 2024) belongs to a same-named BIOTECH, NOT this studio - excluded. games_shipped approx (prolific RPG studio)."
far_from_home,Far From Home S.A.,Poland,Wroclaw,EU-Other,KRS 0000845096,2020,Active,Mid (21-50),23,2024,,Yes,1,https://www.farfromhomegames.com,S030,S030,"Forever Skies (2023 EA / 2026 1.0) self-published -> self_published Yes (Sony partnership for PS5 console debut). Founded April 2020 by ex-Techland/Bloober veterans. Polish KRS financials pulled (financials.csv): LOSS-MAKING, rev 1.5M->4.3M PLN (2021-23). Closest peer profile to the user's studio."
nearly_games,Nearly (Voidtrain dev; published by HypeTrain Digital),Cyprus,,EU-Other,,2019,Active,Micro (2-5),5,2025,HypeTrain Digital (publisher; relationship unclear),Unknown,1,https://www.hypetraindigital.com,S031,S031,"HEAVILY FLAGGED / X-DROP CANDIDATE. 'nearly_games' slug = Voidtrain dev team 'Nearly', tightly tied to publisher HypeTrain Digital (Cyprus, founded 2015; Steam credits HypeTrain as BOTH dev & publisher). Entity, team size, nationality (CIS origins likely), and self_pub all UNCERTAIN. Region=Cyprus (publisher base). Recommend user decide keep/drop."
the_fun_pimps,The Fun Pimps Entertainment LLC,United States,"Allen, TX",North America,,2012,Acquired,Large (50+),70,2026,Behaviour Interactive,Yes,1,https://thefunpimps.com,S032,S032,"7 Days to Die (PC, tracked title) self-published, funded by revenue -> self_published Yes (note: 2016 console version via Telltale Publishing). Founded late 2012 (Huenink brothers + Christian Lang). Kickstarter-funded 2013 (see funding.csv). Acquired by Behaviour Interactive ~2026. Revenue $9M(2014)->$72M(2023)->$32M(2025) analyst est (ANEC). US private."
deep_field_games,Deep Field Games,New Zealand,,Other,,2015,Active,Small (6-20),10,2025,,No,2,https://www.deepfield.games,S033,S033,"Abiotic Factor (tracked title) published by Playstack -> self_published No; Unfortunate Spacemen (2016) self-published. Founder Geoff 'Zag' Keene; ~10 devs + remote. founded ~2015 EST. Grant-funded (Alt Ventures + NZ CODE, see funding.csv). NZ private - limited public financials."
jagex,Jagex Limited,United Kingdom,Cambridge,UK,03982706 (Companies House),2000,Acquired,Large (50+),700,2024,CVC Capital Partners + Haveli Investments,Yes,6,https://www.jagex.com,S034,S034,"RuneScape: Dragonwilds (2025, tracked title) self-published by Jagex -> self_published Yes. Incorporated 2000 (Gower brothers). PE-owned by CVC + Haveli since Feb 2024 (from Carlyle, ~GBP910M). 700+ staff. FY2021 rev ~$169M pulled (CBInsights from filed accounts; financials.csv); full FY2024 GBP statutory accounts free at Companies House 03982706. CH number confirmed 03982706."
surroundead,SurrounDead (solo dev 'Zurvivor'),Undisclosed,,Other,,2020,Active,Solo,1,2025,,Yes,1,https://store.steampowered.com/app/1645820/SurrounDead/,S035,S035,"REPLACES placeholder slug 'verify' -> proposed slug 'surroundead'. Solo dev pseudonym 'Zurvivor' (also seen 'Zuraxii'); self-published as 'SurrounDead'/PlaySurrounDead. Dev began late 2020, EA Jun 2022. COUNTRY UNDISCLOSED (a Moroccan outlet framed it locally but did NOT confirm nationality) - FLAG. No accessible financials."
bohemia_interactive,Bohemia Interactive a.s.,Czechia,Prague,EU-Other,ICO 27218864,1999,Active,Large (50+),500,2025,,Yes,10,https://www.bohemia.net,S036,S036,"DayZ (tracked title) self-published -> self_published Yes (also runs Bohemia Incubator label). Founded May 1999 (Marek Spanel et al.). ~500 staff across CZ/Thailand/NL. Founder-controlled via SPM; Tencent minority stake Feb 2021 (see funding.csv). NB 'BISim' (mil-sim, BAE-acquired 2024) is a SEPARATE entity - do not conflate. Czech financials pulled (financials.csv): FY2024 rev 1.4bn CZK, FY2025 ~1.7bn CZK (preliminary). games_shipped approx."
rocketwerkz,RocketWerkz Ltd,New Zealand,Auckland,Other,,2014,Active,Large (50+),75,2021,,Yes,5,https://rocketwerkz.com,S037,S037,"Icarus (tracked title) & Stationeers self-published -> self_published Yes. Founded Dec 2014 by Dean Hall (DayZ creator); orig. Dunedin, now Auckland. Tencent minority ~45%, Hall majority-owned. ~75 staff (2021). NZ private - limited public financials. games_shipped approx."
sand_sailor,Sand Sailor Studio,Romania,Bucharest,EU-Other,CUI 33244826,2014,Active,Small (6-20),10,2024,,Unknown,3,https://www.sandsailorstudio.com,S038,S038,"ASKA (2024, tracked title) publisher TO VERIFY (possibly Thunderful Publishing) -> self_published Unknown; Black The Fall (2017) via Square Enix Collective; Bossgard (2019) self-published. Founded 2014 (Cristian Diaconescu). ~9-10 staff. Kickstarter+accelerator funded (see funding.csv). Romanian ONRC pulled (financials.csv): FY2024 rev 2.35M RON, net 260k RON, profitable, 10 emp."
iron_gate,Iron Gate AB,Sweden,Skovde,Nordics,559203-4820,2019,Active,Small (6-20),16,2024,,No,1,https://irongate.se,S014,S014,"Valheim (tracked title) published by Coffee Stain Publishing (Embracer) -> self_published No; Coffee Stain also holds a MINORITY stake + rev-share (studio otherwise independent, status Active not Acquired). Founded 2018 per studio (secondary sources say April 2019 - verify Bolagsverket). Valheim 12M+ copies (full release Sept 2026). Swedish AB - 4yr financials now pulled (financials.csv): FY2023 Valheim spike 533M SEK, ~60% margins. Broken (non-calendar) fiscal year. Reg 2019-04-24 confirms founded=2019."
tuxedo_labs,Tuxedo Labs AB,Sweden,Malmo,Nordics,,2019,Acquired,Small (6-20),6,2022,Embracer Group (Saber Interactive),Yes,1,https://tuxedolabs.com,S016,S016,"Teardown (tracked title) self-published pre-acquisition -> self_published Yes. Founded 2019 by Dennis Gustafsson (CTO). Acquired 100% by Embracer/Saber, completed 2022-07-01 (terms undisclosed). Team of 6. Teardown 1M+ copies. Swedish AB filings consolidated into Embracer post-2022 - no meaningful standalone P&L; not recorded."
ghost_ship_games,Ghost Ship Games ApS,Denmark,Copenhagen,Nordics,CVR 37989819,2016,Acquired,Large (50+),60,2026,Embracer Group (Coffee Stain Holding),No,2,https://ghostship.dk,S017,S018,"Deep Rock Galactic (tracked title) published by Coffee Stain Publishing -> self_published No (studio now also runs Ghost Ship Publishing). Founded spring 2016 by ~6 veterans. Coffee Stain took 30%, then Embracer acquired remaining 70% Aug 2021 (founders got 528M DKK). ~60 staff (2026, was ~32 in 2023). Danish CVR pulled (financials.csv): FY2025 gross profit 110M DKK, 52 emp. NB Danish accounts disclose gross profit, NOT revenue."
